id,vesselName,vhash,companyName,chash,platformName,phash,voyageCount,multi,sortid
858,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,6,0,18
859,SKANDI RONA,-1354178746,SHELL,78865936,GANNET E,-949074898,6,0,21
860,ISLAND CHALLENGER,-1182779558,BP,2126,MIRREN,-2020581755,1,0,65
861,SEA TANTALUS,1033933901,NEXEN,74177002,GOLDEN EAGLE,1429227533,3,0,46
862,SEA TANTALUS,1033933901,NEXEN,74177002,ETTRICK,-701815836,3,0,45
863,SEA TANTALUS,1033933901,NEXEN,74177002,BUZZARD,965041792,3,0,47
864,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,BUCHAN,1970090533,1,0,41
865,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,TWEEDSMUIR,1171872259,7,0,43
866,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,SHAW,2543947,7,0,9
867,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,WOOD,2670253,7,0,12
868,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BRECHIN,859081663,7,0,7
869,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,ARBROATH,-952916089,7,0,11
870,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,CARNOUSTIE,-2071798339,7,0,10
871,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,MONTROSE,463927351,7,0,13
872,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,KITTIWAKE,-28175409,3,0,35
873,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,SCOLTY,-1854442638,3,0,38
874,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,CRATHES,1743397588,3,0,37
875,SKANDI BUCHAN,-443528389,TOTAL,80012068,ELGIN,66057637,1,0,67
876,SKANDI BUCHAN,-443528389,TOTAL,80012068,ELGIN,66057637,1,0,67
877,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
878,SKANDI RONA,-1354178746,SHELL,78865936,GANNET E,-949074898,2,0,21
879,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,2,0,18
880,NORTH PROMISE,-1394967360,SHELL,78865936,GANNET C,-949074900,2,0,20
881,NORTH PROMISE,-1394967360,SHELL,78865936,GANNET G,-949074896,2,0,17
882,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,2,0,64
883,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,2,0,6
884,EDDA FRIGG,2061095641,BP,2126,MIRREN,-2020581755,1,0,65
885,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,1,0,64
886,NORTH     MARINER,657095701,NEXEN,74177002,BUZZARD,965041792,2,0,47
887,NORTH     MARINER,657095701,NEXEN,74177002,GOLDEN EAGLE,1429227533,2,0,46
888,SKANDI CAPTAIN,-537194322,NEXEN,74177002,GOLDEN EAGLE,1429227533,1,0,46
889,SEA TANTALUS,1033933901,NEXEN,74177002,GOLDEN EAGLE,1429227533,1,0,46
890,NORTH     MARINER,657095701,NEXEN,74177002,GOLDEN EAGLE,1429227533,2,0,46
891,NORTH     MARINER,657095701,NEXEN,74177002,ETTRICK,-701815836,2,0,45
892,NORTH     MARINER,657095701,NEXEN,74177002,ETTRICK,-701815836,1,0,45
893,BRAGE SUPPLIER,210364477,REPSOL,-1881188397,BUCHAN,1970090533,2,0,41
894,BRAGE SUPPLIER,210364477,REPSOL,-1881188397,TWEEDSMUIR,1171872259,2,0,43
895,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,SHAW,2543947,3,0,9
896,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,CARNOUSTIE,-2071798339,3,0,10
897,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,MONTROSE,463927351,3,0,13
898,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,SHAW,2543947,2,0,9
899,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,ARBROATH,-952916089,2,0,11
900,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,WOOD,2670253,3,0,12
901,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,BRECHIN,859081663,3,0,7
902,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,ARKWRIGHT,68113087,3,0,8
